date,AAIIBUBE,price
2010-01-07,15.0,910.5499999999997
2010-01-14,20.519999999999996,918.2999999999997
2010-01-21,5.259999999999998,884.0499999999997
2010-01-28,-1.6700000000000017,852.2999999999997
2010-02-04,-13.849999999999998,834.7999999999997
2010-02-11,-5.130000000000003,849.5499999999997
2010-02-18,0.6300000000000026,878.5499999999997
2010-02-25,5.359999999999999,875.2999999999997
2010-03-04,9.649999999999999,895.2999999999997
2010-03-11,20.0,923.5499999999997
2010-03-18,5.489999999999998,939.0499999999997
2010-03-25,-2.269999999999996,940.5499999999997
2010-04-01,10.139999999999997,951.5499999999997
2010-04-08,12.5,961.5499999999997
2010-04-15,18.779999999999998,986.2999999999997
2010-04-22,3.8699999999999974,979.5499999999997
2010-04-29,12.719999999999999,983.0499999999997
2010-05-06,10.560000000000002,900.2999999999997
2010-05-13,0.0,934.5499999999997
2010-05-20,7.599999999999994,847.7999999999997
2010-05-27,-21.050000000000004,878.7999999999997
2010-06-03,-3.759999999999998,881.2999999999997
2010-06-10,-8.620000000000005,861.5499999999997
2010-06-17,11.790000000000003,894.0499999999997
2010-06-24,2.030000000000001,852.7999999999997
2010-07-01,-17.310000000000002,804.0499999999997
2010-07-08,-36.129999999999995,849.2999999999997
2010-07-15,1.5700000000000003,872.7999999999997
2010-07-22,-12.870000000000005,870.0499999999997
2010-07-29,6.670000000000002,879.2999999999997
2010-08-05,-7.850000000000001,905.7999999999997
2010-08-12,9.639999999999997,861.5499999999997
2010-08-19,-12.36,853.5499999999997
2010-08-26,-28.73,827.0499999999997
2010-09-02,-11.41,871.7999999999997
2010-09-09,12.259999999999998,884.7999999999997
2010-09-16,26.63,909.7999999999997
2010-09-23,19.57,907.7999999999997
2010-09-30,10.920000000000002,924.0499999999997
2010-10-07,21.290000000000003,943.7999999999997
2010-10-14,20.290000000000003,960.7999999999997
2010-10-21,24.429999999999996,963.0499999999997
2010-10-28,29.629999999999995,966.5499999999997
2010-11-04,18.439999999999998,1005.7999999999997
2010-11-11,29.070000000000004,998.2999999999997
2010-11-18,7.5,985.0499999999997
2010-11-25,22.72,983.7999999999997
2010-12-02,23.449999999999996,1010.0499999999997
2010-12-09,30.49,1020.2999999999997
2010-12-16,23.08,1030.7999999999997
2010-12-23,46.88,1045.2999999999997
2010-12-30,31.56,1046.7999999999997
2011-01-06,37.63,1062.5499999999997
2011-01-13,28.900000000000002,1073.5499999999997
2011-01-20,21.65,1068.5499999999997
2011-01-27,7.75,1088.0499999999997
2011-02-03,24.669999999999998,1095.5499999999997
2011-02-10,22.49,1111.0499999999997
2011-02-17,21.009999999999998,1130.0499999999997
2011-02-24,0.490000000000002,1095.0499999999997
2011-03-03,3.6300000000000026,1122.0499999999997
2011-03-10,3.6499999999999986,1086.5499999999997
2011-03-17,-11.629999999999999,1065.7999999999997
2011-03-24,2.770000000000003,1102.2999999999997
2011-03-31,10.740000000000002,1118.0499999999997
2011-04-07,14.740000000000002,1125.5499999999997
2011-04-14,11.260000000000002,1107.2999999999997
2011-04-21,1.1699999999999982,1128.0499999999997
2011-04-28,7.25,1152.0499999999997
2011-05-05,3.59,1132.0499999999997
2011-05-12,-4.73,1144.5499999999997
2011-05-19,-14.599999999999998,1138.7999999999997
2011-05-26,-15.810000000000002,1123.5499999999997
2011-06-02,-3.25,1109.5499999999997
2011-06-09,-23.25,1084.5499999999997
2011-06-16,-13.75,1066.0499999999997
2011-06-23,1.7199999999999989,1079.5499999999997
2011-06-30,8.120000000000001,1118.0499999999997
2011-07-07,17.090000000000003,1154.2999999999997
2011-07-14,10.060000000000002,1109.2999999999997
2011-07-21,9.25,1145.0499999999997
2011-07-28,6.420000000000002,1099.2999999999997
2011-08-04,-22.69,1001.2999999999997
2011-08-11,-11.350000000000001,971.0499999999997
2011-08-18,-4.259999999999998,946.0499999999997
2011-08-25,-4.520000000000003,960.0499999999997
2011-09-01,6.279999999999994,1003.7999999999997
2011-09-08,-10.07,988.2999999999997
2011-09-15,-10.850000000000001,1013.0499999999997
2011-09-22,-22.67,932.2999999999997
2011-09-29,-14.280000000000001,965.0499999999997
2011-10-06,-10.480000000000004,966.2999999999997
2011-10-13,3.4100000000000037,1006.7999999999997
2011-10-20,1.3799999999999955,1018.7999999999997
2011-10-27,18.0,1091.2999999999997
2011-11-03,10.559999999999999,1064.5499999999997
2011-11-10,20.169999999999998,1046.2999999999997
2011-11-17,10.89,1023.5499999999997
2011-11-24,-5.560000000000002,968.7999999999997
2011-12-01,-6.380000000000003,1052.2999999999997
2011-12-08,3.8100000000000023,1044.7999999999997
2011-12-15,6.539999999999999,1026.7999999999997
2011-12-22,5.489999999999998,1064.0499999999997
2011-12-29,9.770000000000003,1072.5499999999997
2012-01-05,31.720000000000002,1088.0499999999997
2012-01-12,31.96,1106.7999999999997
2012-01-19,23.619999999999997,1125.5499999999997
2012-01-26,29.49,1130.2999999999997
2012-02-02,18.730000000000004,1137.7999999999997
2012-02-09,31.45,1163.2999999999997
2012-02-16,16.080000000000002,1169.7999999999997
2012-02-23,16.179999999999996,1178.0499999999997
2012-03-01,17.68,1189.5499999999997
2012-03-08,13.380000000000003,1181.5499999999997
2012-03-15,18.41,1216.5499999999997
2012-03-22,14.570000000000004,1209.5499999999997
2012-03-29,16.99,1218.7999999999997
2012-04-05,10.370000000000001,1210.7999999999997
2012-04-12,-13.420000000000002,1206.5499999999997
2012-04-19,-2.6600000000000037,1193.0499999999997
2012-04-26,-9.759999999999998,1217.2999999999997
2012-05-03,6.93,1206.5499999999997
