,EMEQU,HY,EMDEBT
2010-01-01,0.0,0.0,0.0
2010-01-04,-16.927800000000744,11.796000000000166,0.0
2010-01-05,833.5296200000013,11.625690000000006,2.559000000000036
2010-01-06,6.3661000000018895,126.84635999999966,2.569999999999945
2010-01-07,49.88486000000041,28.968949999999893,0.0
2010-01-08,-40.38599999999903,54.02600000000034,20.45599999999993
2010-01-11,314.1309999999985,69.95793999999961,0.0
2010-01-12,77.42976000000084,43.68796000000053,12.886999999999999
2010-01-13,-165.58739999999983,21.81314999999977,43.710999999999984
2010-01-14,-176.35519999999912,23.963999999999913,0.0
2010-01-15,-63.71959999999963,39.68853999999974,0.0
2010-01-18,0.0,0.0,0.0
2010-01-19,-193.9196600000026,7.894259999999874,0.0
2010-01-20,57.92296000000003,11.88900000000017,0.0
2010-01-21,-11.108040000001022,3.9769799999998736,2.5580000000000362
2010-01-22,-482.5094999999987,-46.34399999999984,0.0
2010-01-25,-278.4005200000024,0.0,22.972999999999963
2010-01-26,-297.79849999999624,9.475199999999871,5.099999999999982
2010-01-27,-217.81892000000363,29.114000000000416,2.5459999999999456
2010-01-28,-257.4780000000003,-8.667000000000124,2.5378000000000362
2010-01-29,-547.099520000001,-8.623000000000124,0.0
2010-02-01,-476.10999999999797,132.31199999999984,0.0
2010-02-02,-309.6185000000018,-65.04561999999946,2.5310000000000357
2010-02-03,294.1080000000012,15.433319999999899,-20.07999999999993
2010-02-04,11.867000000000822,-70.2709260000003,0.0
2010-02-05,-748.5768500000001,-123.30979999999951,-81.72100000000012
2010-02-08,-497.33900000000074,-75.24170000000038,0.0
2010-02-09,-142.60118999999963,0.0,2.499000000000035
2010-02-10,-61.625999999996836,13.035240000000096,-5.024000000000072
2010-02-11,-20.115000000000258,18.51066000000004,2.526000000000036
2010-02-12,-5.759779999999854,2.7910000000000394,0.0
2010-02-15,0.0,0.0,0.0
2010-02-16,-158.0029999999999,25.350360000000155,20.076000000000107
2010-02-17,504.300999999999,32.032059999999824,7.569000000000018
2010-02-18,20.75100000000057,25.807800000000157,2.5159999999999463
2010-02-19,130.1761699999975,35.69334999999957,0.0
2010-02-22,-64.63666999999928,47.50913999999994,5.040000000000071
2010-02-23,-231.1395000000011,16.365510000000143,0.0
2010-02-24,16.808500000000002,19.313550000000184,10.095999999999963
2010-02-25,-57.24942000000119,0.0,0.0
2010-02-26,-10.646500000000628,28.034419999999756,0.0
2010-03-01,-69.31300000000107,47.227100000000696,-7.698000000000018
2010-03-02,-221.49597999999335,67.67531999999962,10.251099999999964
2010-03-03,40.16799999999986,79.07672999999984,10.239999999999965
2010-03-04,37.13889999999901,28.088259999999963,7.767000000000019
2010-03-05,-122.95200000000179,97.75432000000059,5.1759999999999815
2010-03-08,18.959500000000048,12.680649999999433,0.0
2010-03-09,60.34021999999899,76.79099999999963,0.0
2010-03-10,54.49129999999898,28.605480000000313,2.6089999999999445
2010-03-11,55.19900000000098,50.05453999999993,0.0
2010-03-12,45.365999999999985,25.579499999999644,-2.615999999999944
2010-03-15,0.0,29.79600000000034,10.406000000000148
2010-03-16,12.578850000001871,41.33720000000059,0.0
2010-03-17,241.3738199999989,40.29715999999992,13.085999999999906
2010-03-18,193.00199999999975,74.86217999999961,2.624000000000037
2010-03-19,-210.1202099999994,16.61614000000042,13.097000000000001
2010-03-22,85.47828000000321,22.916569999999332,2.627999999999944
2010-03-23,-24.744000000000938,64.0695600000002,18.30699999999998
2010-03-24,236.61000000000115,15.768480000000316,0.0
2010-03-25,-125.62399999999954,13.720000000000162,10.414999999999964
2010-03-26,-160.08749999999907,66.19934999999955,10.410000000000148
2010-03-29,-220.63000000000392,10.675000000000118,0.0
2010-03-30,221.94665999999762,88.73464000000045,10.413999999999962
2010-03-31,95.43579999999817,56.96120999999965,2.620000000000037
2010-04-01,162.26250000000002,3.102999999999824,10.381999999999962
2010-04-02,0.0,0.0,0.0
2010-04-05,832.5580000000009,64.26899999999966,0.0
2010-04-06,523.4753600000038,-32.15599999999986,5.2319999999999816
2010-04-07,66.51902799999903,11.850000000000168,10.389999999999963
2010-04-08,177.42999999999947,11.883000000000168,33.84600000000002
2010-04-09,0.5678400000014698,26.48930999999959,13.054000000000002
2010-04-12,148.17331999999988,29.657320000000205,13.081000000000001
2010-04-13,65.91481999999617,39.41921000000003,5.285999999999981
2010-04-14,8.792590000001255,47.85599999999983,2.6549999999999434
2010-04-15,57.35769999999877,15.99591000000032,15.824000000000039
2010-04-16,30.670499999999713,-3.9362400000001494,2.6459999999999435
2010-04-19,73.2362000000043,-8.829000000000127,10.505000000000148
2010-04-20,21.838839999999262,15.979950000000322,60.619000000000014
2010-04-21,44.17483999999727,22.76499999999944,2.648000000000038
2010-04-22,16.147499999999912,-7.88633999999945,5.283999999999981
2010-04-23,44.94208000000407,0.0,0.0
2010-04-26,254.9249999999992,14.75585000000027,13.114999999999906
2010-04-27,5.096999999999952,44.22,10.401999999999962
2010-04-28,14.147759999997586,-52.27392000000002,13.007000000000001
2010-04-29,-99.58299999999922,22.75999999999947,33.814000000000114
2010-04-30,-28.903000000000407,114.50040000000017,-18.235000000000166
2010-05-03,173.2037800000006,-44.375,2.624000000000037
2010-05-04,108.25925000000068,0.0,10.345000000000148
2010-05-05,-124.28467999999907,-84.89352000000041,12.871999999999908
2010-05-06,-232.99147500000072,-80.94553359999912,-19.89080999999993
2010-05-07,-119.37676999999873,-179.1880000000005,-32.366000000000106
2010-05-10,-66.37285000000041,38.71125000000064,-2.5949999999999447
2010-05-11,567.8294199999973,-19.303530000000183,0.0
