,usd_exposure,eur_exposure,gbp_exposure,jpy_exposure,emfx_exposure,fi_exposure,dmequity_exposure,emequity_exposure,com_exposure,ags_exposure
2011-08-31,-9.067996926083659,1.689290588942316,2.925177501827487,2.37803135960821,-9.598066936030701,203.7298740016404,-31.560861543345773,-17.38624871594714,8.563500645379081,2.240999888920446
2011-09-01,-9.067996926083659,-0.23307638971178327,2.925177501827487,2.37803135960821,-9.598066936030701,203.7298740016404,-30.514481528229823,-14.388508200644784,8.563500645379081,2.240999888920446
2011-09-02,-9.067996926083659,-0.23307638971178327,0.40035129925953156,2.37803135960821,-9.598066936030701,203.7298740016404,-31.07148233701493,-15.272186323642913,8.563500645379081,2.240999888920446
2011-09-05,-9.067996926083659,-0.23307638971178327,0.40035129925953156,2.37803135960821,-9.536219298723038,203.7298740016404,-31.07148233701493,-15.272186323642913,8.563500645379081,2.240999888920446
2011-09-06,-9.067996926083659,-0.23307638971178327,0.40035129925953156,2.37803135960821,-9.536219298723038,203.7298740016404,-31.07148233701493,-15.272186323642913,8.563500645379081,2.240999888920446
2011-09-07,-9.067996926083659,-0.23307638971178327,0.40035129925953156,2.37803135960821,-9.536219298723038,203.7298740016404,-31.07148233701493,-15.272186323642913,8.563500645379081,2.240999888920446
2011-09-08,-9.067996926083659,-0.23307638971178327,-1.136939779073829,2.37803135960821,-10.883350240574757,203.7298740016404,-31.07148233701493,-16.61694037627907,8.563500645379081,2.240999888920446
2011-09-09,-9.067996926083659,-1.3932530562381575,-1.136939779073829,3.5382080261345843,-8.86695838731705,203.7298740016404,-31.07148233701493,-16.61694037627907,8.563500645379081,2.240999888920446
2011-09-12,-2.4567334631563353,-8.00451651916548,-1.136939779073829,3.5382080261345843,-13.613715623129696,190.47405637153426,-31.92187249717229,-17.135703225355456,8.563500645379081,2.240999888920446
2011-09-13,-2.4567334631563353,-8.00451651916548,-1.136939779073829,5.011806708977105,-15.942894349250045,190.47405637153426,-31.92187249717229,-17.135703225355456,8.563500645379081,2.240999888920446
2011-09-14,-2.4567334631563353,-8.00451651916548,-1.136939779073829,5.011806708977105,-28.034289328362465,190.47405637153426,-34.194537864567536,-17.135703225355456,8.563500645379081,1.264857634111324
2011-09-15,-2.4567334631563353,-8.00451651916548,-1.136939779073829,5.011806708977105,-31.196339253213576,190.47405637153426,-33.126012770979465,-17.135703225355456,8.563500645379081,1.264857634111324
2011-09-16,-2.4567334631563353,-8.00451651916548,-1.136939779073829,5.011806708977105,-31.196339253213576,190.47405637153426,-33.126012770979465,-17.135703225355456,7.880070902520328,-0.41408022999285643
2011-09-19,-2.4567334631563353,-8.00451651916548,-1.136939779073829,5.011806708977105,-38.4579141137261,190.47405637153426,-33.126012770979465,-17.135703225355456,7.264857643833326,-0.41408022999285643
2011-09-20,-2.4567334631563353,-8.00451651916548,-1.136939779073829,5.011806708977105,-45.745163158333106,190.47405637153426,-33.126012770979465,-17.135703225355456,7.264857643833326,-0.41408022999285643
2011-09-21,-0.5523335676016607,-8.00451651916548,-2.8117803610292795,5.011806708977105,-57.578463026465,190.47405637153426,-33.126012770979465,-17.135703225355456,7.264857643833326,-0.41408022999285643
2011-09-22,8.041083444252193,-9.553959238617502,-2.8117803610292795,6.708195999865968,-53.85794069175411,190.47405637153426,-33.126012770979465,-17.92467332898001,3.3067145926973622,-0.9011864409202018
2011-09-23,8.041083444252193,-3.902783473420968,-2.8117803610292795,6.708195999865968,-58.09993267786238,190.47405637153426,-33.126012770979465,-17.92467332898001,-1.0796211138361473,-0.9011864409202018
2011-09-26,8.041083444252193,-3.902783473420968,-2.8117803610292795,6.708195999865968,-66.73355248872481,190.47405637153426,-33.126012770979465,-17.92467332898001,-1.8989177786282248,-1.6385637648908464
2011-09-27,8.041083444252193,-3.902783473420968,-2.8117803610292795,6.708195999865968,-70.8196293765602,190.47405637153426,-34.749000461067006,-21.56907009807282,-5.253791731711117,-1.6385637648908464
2011-09-28,8.041083444252193,-3.902783473420968,-2.8117803610292795,6.708195999865968,-64.39220818469178,183.81672938918626,-36.41348745716126,-21.56907009807282,-6.270833420982814,-3.998419605142982
2011-09-29,8.041083444252193,-3.902783473420968,-2.8117803610292795,6.708195999865968,-64.39220818469178,183.81672938918626,-36.41348745716126,-21.56907009807282,-6.270833420982814,-3.998419605142982
2011-09-30,8.041083444252193,-3.902783473420968,-2.8117803610292795,6.708195999865968,-64.39220818469178,179.57391124638823,-37.1701804615702,-21.56907009807282,-6.270833420982814,-6.114878707918642
2011-10-03,9.84494521625593,-0.1439513099451135,-2.8117803610292795,6.708195999865968,-66.68668048976494,179.57391124638823,-37.1701804615702,-21.56907009807282,-6.270833420982814,-6.114878707918642
2011-10-04,9.84494521625593,-0.1439513099451135,-1.136939779073829,6.708195999865968,-63.65558507378377,179.57391124638823,-37.1701804615702,-21.56907009807282,-11.820915866258362,-6.114878707918642
2011-10-05,9.84494521625593,3.857037392250317,-1.136939779073829,6.708195999865968,-63.65558507378377,174.4441431899555,-38.82149076900365,-21.56907009807282,-11.820915866258362,-6.114878707918642
2011-10-06,12.85133374858707,3.857037392250317,-1.136939779073829,6.708195999865968,-67.90740765461958,167.50848062108395,-38.82149076900365,-21.56907009807282,-13.559376258848287,-6.114878707918642
2011-10-07,12.85133374858707,3.857037392250317,-1.136939779073829,9.767094706837918,-65.5958442259084,167.50848062108395,-35.450272354099084,-21.56907009807282,-13.559376258848287,-6.114878707918642
2011-10-10,12.85133374858707,1.3141809312693085,-1.136939779073829,12.309951167818927,-71.10978927967855,132.7857665454852,-35.450272354099084,-24.88551573247149,-15.052280025015243,-6.114878707918642
2011-10-11,12.85133374858707,1.3141809312693085,-1.136939779073829,12.309951167818927,-64.07203902985832,101.33720629864963,-32.41812577522098,-26.679356126589823,-15.052280025015243,-9.417525470229261
2011-10-12,12.85133374858707,1.3141809312693085,-1.136939779073829,12.309951167818927,-59.2573980764552,101.33720629864963,-32.41812577522098,-25.529412305129274,-15.052280025015243,-9.417525470229261
2011-10-13,11.047471976583335,1.3141809312693085,-1.136939779073829,9.251052460846976,-53.64492150046799,96.41065901652136,-28.000820917383408,-22.593646387109587,-15.052280025015243,-11.04947973491486
2011-10-14,11.047471976583335,1.3141809312693085,-1.136939779073829,9.251052460846976,-53.64492150046799,96.41065901652136,-28.000820917383408,-19.641329246813285,-15.052280025015243,-11.04947973491486
2011-10-17,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-51.103759185624284,73.70603757466755,-26.43513389933595,-19.7497107860194,-15.052280025015243,-9.51494910743286
2011-10-18,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-53.17290013495474,73.70603757466755,-26.43513389933595,-19.60165500281626,-15.052280025015243,-9.51494910743286
2011-10-19,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-53.17290013495474,73.70603757466755,-26.43513389933595,-19.60165500281626,-15.052280025015243,-10.37100904009061
2011-10-20,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-53.17290013495474,73.70603757466755,-27.318427201708893,-20.614661574873715,-15.052280025015243,-10.37100904009061
2011-10-21,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-53.17290013495474,73.70603757466755,-27.318427201708893,-20.614661574873715,-15.052280025015243,-10.37100904009061
2011-10-24,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-53.17290013495474,65.30041959639607,-27.318427201708893,-20.614661574873715,-15.052280025015243,-10.37100904009061
2011-10-25,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-56.46778218602319,70.66238329397959,-25.667116894275434,-17.916296281226685,-15.052280025015243,-10.37100904009061
2011-10-26,1.3518240160072834,2.8636236507213315,-1.136939779073829,7.554663169958114,-56.46778218602319,70.66238329397959,-25.667116894275434,-16.429516809946154,-13.313819632425318,-10.37100904009061
2011-10-27,1.3518240160072834,2.8636236507213315,-2.438432251694808,7.554663169958114,-56.46778218602319,70.66238329397959,-25.667116894275434,-16.429516809946154,-13.313819632425318,-10.37100904009061
2011-10-28,0.0,4.023800317247706,-2.438432251694808,4.920887820589218,-40.33641878263213,36.847936836982306,-11.395402348920097,-7.495489564492195,-9.808338752638688,-10.37100904009061
2011-10-31,0.0,4.023800317247706,-2.438432251694808,3.2478933380877417,-36.21354541243057,41.25601040441398,-11.395402348920097,-7.495489564492195,-9.808338752638688,-10.37100904009061
2011-11-01,0.0,7.807748358763095,-1.3014924726209791,-1.6729944825014766,-36.21354541243057,41.25601040441398,-11.395402348920097,-7.495489564492195,-10.69214641972417,-10.37100904009061
2011-11-02,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,41.25601040441398,-13.245864477320275,-7.495489564492195,-9.858197025246989,-10.37100904009061
2011-11-03,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,46.37716945441939,-14.140836267432606,-7.495489564492195,-9.858197025246989,-10.37100904009061
2011-11-04,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,46.37716945441939,-14.963780512073383,-7.495489564492195,-9.858197025246989,-10.37100904009061
2011-11-07,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,46.37716945441939,-14.963780512073383,-7.495489564492195,-9.039077144052154,-10.977530811373459
2011-11-08,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,46.37716945441939,-14.00356686813734,-6.706519460867641,-8.448676708787774,-10.977530811373459
2011-11-09,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,46.37716945441939,-14.00356686813734,-7.554311739651274,-8.54093361479312,-10.977530811373459
2011-11-10,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,46.37716945441939,-14.00356686813734,-7.554311739651274,-8.54093361479312,-10.977530811373459
2011-11-11,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,46.37716945441939,-14.00356686813734,-7.554311739651274,-8.54093361479312,-10.977530811373459
2011-11-14,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,42.268359398378706,-14.00356686813734,-8.541413144730573,-8.54093361479312,-10.977530811373459
2011-11-15,0.0,7.807748358763095,-2.852485804470872,-1.6729944825014766,-38.0671617293414,42.268359398378706,-14.968905263737069,-8.541413144730573,-8.54093361479312,-10.977530811373459
2011-11-16,0.0,6.671280339220195,-2.852485804470872,-0.5365264629585766,-38.0671617293414,42.268359398378706,-14.968905263737069,-8.541413144730573,-8.54093361479312,-10.977530811373459
2011-11-17,0.0,6.671280339220195,-2.852485804470872,-0.5365264629585766,-39.8348738510447,42.268359398378706,-14.968905263737069,-9.400879092738405,-8.54093361479312,-10.977530811373459
2011-11-18,0.0,6.671280339220195,-2.852485804470872,-0.5365264629585766,-39.8348738510447,42.268359398378706,-14.968905263737069,-12.330835206268839,-8.54093361479312,-10.977530811373459
2011-11-21,1.65825395693621,6.671280339220195,-2.852485804470872,-0.5365264629585766,-41.47961835810038,42.268359398378706,-15.828913617198847,-17.05144846586961,-9.500913854378341,-10.977530811373459
2011-11-22,1.65825395693621,6.671280339220195,-2.852485804470872,1.1364680195429,-41.47961835810038,42.268359398378706,-15.828913617198847,-17.05144846586961,-9.500913854378341,-10.977530811373459
2011-11-23,6.091057910231043,6.671280339220195,-2.852485804470872,1.1364680195429,-44.194136471360636,42.268359398378706,-16.6382609187153,-17.05144846586961,-10.533601047981026,-10.977530811373459
2011-11-24,6.091057910231043,6.671280339220195,-2.852485804470872,1.1364680195429,-46.05050212080734,42.268359398378706,-19.251564301747457,-17.05144846586961,-10.533601047981026,-10.977530811373459
2011-11-25,6.091057910231043,6.671280339220195,-2.852485804470872,1.1364680195429,-49.06282939757055,36.82288974761533,-20.11878776037439,-18.208936126834526,-10.533601047981026,-10.977530811373459
2011-11-28,6.091057910231043,6.671280339220195,-2.852485804470872,1.1364680195429,-49.06282939757055,43.77548329079457,-20.11878776037439,-20.09221202701226,-10.533601047981026,-10.977530811373459
2011-11-29,6.091057910231043,6.671280339220195,-2.852485804470872,1.1364680195429,-49.06282939757055,43.77548329079457,-20.11878776037439,-20.93047678011877,-10.533601047981026,-10.977530811373459
2011-11-30,11.203953423512244,6.671280339220195,-4.238034865691242,5.014239156429039,-53.9345772184846,37.66208568870553,-30.341272267308334,-25.485103157038587,-12.386048738406624,-10.977530811373459
2011-12-01,11.203953423512244,6.671280339220195,-4.238034865691242,5.014239156429039,-51.4265200690004,37.66208568870553,-31.356629043032065,-29.879485094089546,-12.701872491578648,-10.977530811373459
2011-12-02,11.203953423512244,6.671280339220195,-4.238034865691242,5.014239156429039,-51.4265200690004,37.66208568870553,-31.356629043032065,-29.82325348766973,-12.701872491578648,-10.977530811373459
2011-12-05,11.203953423512244,6.671280339220195,-4.238034865691242,5.014239156429039,-51.4265200690004,37.66208568870553,-31.356629043032065,-30.21450680037907,-12.701872491578648,-10.977530811373459
2011-12-06,11.203953423512244,5.392635771604724,-4.238034865691242,6.292883724044511,-51.4265200690004,37.66208568870553,-29.659553253813698,-29.46968205855057,-12.701872491578648,-10.977530811373459
2011-12-07,11.203953423512244,1.6338036081288692,-4.238034865691242,6.292883724044511,-51.4265200690004,42.12344534894487,-29.659553253813698,-28.29455447102845,-12.659564856557381,-10.977530811373459
2011-12-08,11.203953423512244,1.6338036081288692,-4.238034865691242,6.292883724044511,-52.90335943839881,47.04388156718735,-29.659553253813698,-28.29455447102845,-12.659564856557381,-10.977530811373459
2011-12-09,11.203953423512244,1.6338036081288692,-4.238034865691242,6.292883724044511,-54.053832443568126,39.8351008219878,-29.659553253813698,-28.29455447102845,-12.659564856557381,-10.977530811373459
2011-12-12,12.724589619314086,1.6338036081288692,-2.97047751102061,6.292883724044511,-54.053832443568126,45.64139971296335,-29.659553253813698,-28.29455447102845,-12.659564856557381,-10.977530811373459
2011-12-13,12.724589619314086,1.6338036081288692,-2.97047751102061,6.292883724044511,-54.053832443568126,45.64139971296335,-29.659553253813698,-28.29455447102845,-12.659564856557381,-10.977530811373459
2011-12-14,12.724589619314086,1.6338036081288692,-2.97047751102061,6.292883724044511,-55.76006781729886,52.033625627580456,-29.659553253813698,-29.322166358833336,-13.446787888137672,-10.977530811373459
2011-12-15,12.724589619314086,1.6338036081288692,-2.97047751102061,6.292883724044511,-57.84222624806721,52.033625627580456,-30.61089403540184,-30.437698805533334,-14.280737282614854,-10.977530811373459
2011-12-16,12.724589619314086,1.6338036081288692,-2.97047751102061,6.292883724044511,-57.84222624806721,55.82013666571014,-30.61089403540184,-30.437698805533334,-14.280737282614854,-11.855322365176228
2011-12-19,12.724589619314086,1.6338036081288692,-2.97047751102061,6.292883724044511,-57.84222624806721,55.82013666571014,-30.61089403540184,-30.437698805533334,-15.09985716380969,-11.855322365176228
2011-12-20,12.724589619314086,1.6338036081288692,-2.97047751102061,6.292883724044511,-57.84222624806721,55.82013666571014,-30.61089403540184,-30.437698805533334,-15.09985716380969,-11.066145123774147
2011-12-21,12.724589619314086,-2.415112587158372,-2.97047751102061,6.292883724044511,-57.84222624806721,55.82013666571014,-30.61089403540184,-30.437698805533334,-15.09985716380969,-11.066145123774147
2011-12-22,12.724589619314086,-2.415112587158372,-2.97047751102061,6.292883724044511,-57.84222624806721,55.82013666571014,-30.61089403540184,-30.437698805533334,-15.09985716380969,-10.565489645669885
2011-12-23,15.084382407775022,-2.415112587158372,-2.97047751102061,8.651793574611187,-64.39006910352882,55.82013666571014,-30.61089403540184,-30.437698805533334,-15.09985716380969,-10.565489645669885
2011-12-26,15.084382407775022,-2.415112587158372,-2.97047751102061,8.651793574611187,-64.39006910352882,55.82013666571014,-30.61089403540184,-30.437698805533334,-15.09985716380969,-10.565489645669885
2011-12-27,15.084382407775022,-2.415112587158372,-2.97047751102061,8.651793574611187,-64.39006910352882,62.16032850252279,-30.61089403540184,-30.437698805533334,-15.09985716380969,-10.565489645669885
2011-12-28,15.084382407775022,-2.415112587158372,-2.97047751102061,8.651793574611187,-62.63205838485475,69.57598319924242,-30.61089403540184,-33.96102806536531,-15.09985716380969,-6.489317588020567
2011-12-29,17.399706344082478,-2.415112587158372,-2.97047751102061,8.651793574611187,-62.63205838485475,61.698443610849445,-30.61089403540184,-35.37532850262548,-15.09985716380969,-7.362061850287278
2011-12-30,17.399706344082478,-2.415112587158372,-2.97047751102061,8.651793574611187,-62.63205838485475,58.36730660659355,-30.61089403540184,-35.37532850262548,-15.09985716380969,-7.362061850287278
2012-01-02,17.399706344082478,-2.415112587158372,-2.97047751102061,8.651793574611187,-62.63205838485475,63.9526472722063,-30.61089403540184,-35.37532850262548,-15.09985716380969,-7.362061850287278
2012-01-03,17.399706344082478,-2.415112587158372,-2.97047751102061,8.651793574611187,-65.21089548423595,63.9526472722063,-30.61089403540184,-35.37532850262548,-15.09985716380969,-7.362061850287278
2012-01-04,14.342007495057315,-2.415112587158372,-2.97047751102061,8.651793574611187,-65.21089548423595,72.42559917738181,-26.017495909982895,-34.32487023536948,-16.111065407510612,-5.618969882725568
2012-01-05,14.342007495057315,-2.415112587158372,-2.97047751102061,8.651793574611187,-65.447494351634,80.09060798720712,-27.084810655850813,-34.32487023536948,-14.984341607603032,-5.618969882725568
2012-01-06,14.342007495057315,-2.415112587158372,-2.97047751102061,8.651793574611187,-65.447494351634,80.09060798720712,-27.084810655850813,-34.32487023536948,-14.984341607603032,-5.618969882725568
2012-01-09,14.342007495057315,-2.415112587158372,-2.97047751102061,8.651793574611187,-65.447494351634,80.09060798720712,-27.084810655850813,-34.32487023536948,-14.984341607603032,-5.618969882725568
2012-01-10,14.342007495057315,-2.415112587158372,-2.97047751102061,8.651793574611187,-65.61688546810647,80.09060798720712,-27.084810655850813,-36.224397808951416,-16.74138606678022,-5.618969882725568
2012-01-11,12.966902390787647,-2.415112587158372,-4.837882768870555,8.651793574611187,-61.626190676135764,80.09060798720712,-27.084810655850813,-36.224397808951416,-15.68286116617027,-5.012448111442722
2012-01-12,12.966902390787647,-2.415112587158372,-4.837882768870555,8.651793574611187,-64.11707754778422,80.09060798720712,-28.328473020106227,-35.19852958869521,-14.549171895558167,-5.012448111442722
2012-01-13,12.966902390787647,-2.415112587158372,-4.837882768870555,8.651793574611187,-56.042192399076754,92.59995822462642,-28.328473020106227,-35.19852958869521,-15.25650020335191,-6.4922400664184625
2012-01-16,12.966902390787647,-2.415112587158372,-4.837882768870555,8.651793574611187,-56.042192399076754,92.59995822462642,-28.328473020106227,-35.19852958869521,-15.25650020335191,-6.4922400664184625
2012-01-17,12.966902390787647,-2.415112587158372,-4.837882768870555,8.651793574611187,-57.75816946015249,92.59995822462642,-28.328473020106227,-35.19852958869521,-15.25650020335191,-6.4922400664184625
2012-01-18,11.293092509295317,-2.415112587158372,-4.837882768870555,8.651793574611187,-52.94533483835554,92.59995822462642,-27.433501229993894,-34.08996498955024,-10.608740176378477,-6.4922400664184625
2012-01-19,11.293092509295317,-4.922235043341746,-4.837882768870555,11.158916030794561,-46.36094257578833,92.59995822462642,-24.282167163076537,-31.912056240874207,-9.126306348471392,-6.4922400664184625
2012-01-20,11.293092509295317,-4.922235043341746,-4.837882768870555,11.158916030794561,-46.36094257578833,92.59995822462642,-21.616886875526777,-27.530467078567206,-8.3390833168911,-6.4922400664184625
2012-01-23,11.293092509295317,-4.922235043341746,-4.837882768870555,11.158916030794561,-46.36094257578833,92.59995822462642,-20.382321060747415,-24.938253837295637,-8.3390833168911,-9.091094319006594
2012-01-24,13.849214947640686,-7.478357481687115,-4.837882768870555,11.158916030794561,-35.02847829405324,92.59995822462642,-20.382321060747415,-24.938253837295637,-4.067703642856263,-9.091094319006594
2012-01-25,13.849214947640686,-6.199712914071643,-4.837882768870555,9.880271463179088,-33.260766172349946,97.67137318384506,-18.717834064653157,-24.150866277139432,-4.067703642856263,-7.611302364030854
2012-01-26,11.406718649529052,-6.199712914071643,-4.837882768870555,7.521361612612414,-33.260766172349946,97.67137318384506,-16.337488938524196,-22.736565839879265,-0.43259649434573527,-7.611302364030854
2012-01-27,11.406718649529052,-6.199712914071643,-4.837882768870555,7.521361612612414,-25.918763020731337,97.67137318384506,-15.470265479897263,-21.92914797159545,2.4310594397807836,-6.7552424313731025
2012-01-30,11.406718649529052,-6.199712914071643,-4.837882768870555,7.521361612612414,-13.53583008536527,97.67137318384506,-15.470265479897263,-20.81361552489545,2.4310594397807836,-6.7552424313731025
2012-01-31,13.022552083243445,-7.815546347786033,-4.837882768870555,7.521361612612414,-13.53583008536527,97.67137318384506,-15.470265479897263,-16.66435702357111,4.023831040284213,-6.7552424313731025
2012-02-01,13.022552083243445,-7.815546347786033,-4.837882768870555,7.521361612612414,-13.53583008536527,105.50496034835807,-15.470265479897263,-15.816564744787478,4.023831040284213,-6.7552424313731025
2012-02-02,9.004505337846298,-7.815546347786033,-4.837882768870555,7.521361612612414,-12.020356674467733,105.50496034835807,-14.102458353336527,-9.053760233045892,4.023831040284213,-6.7552424313731025
2012-02-03,9.004505337846298,-7.815546347786033,-4.837882768870555,7.521361612612414,-8.094196231624512,105.50496034835807,-11.757389380145336,-7.576479705041549,4.023831040284213,-6.7552424313731025
2012-02-06,9.004505337846298,-7.815546347786033,-4.837882768870555,7.521361612612414,-5.7423795104245325,105.50496034835807,-10.420406202128493,-4.194557275584476,6.09375648977225,-6.7552424313731025
2012-02-07,9.004505337846298,-7.815546347786033,-4.837882768870555,7.521361612612414,-4.355300877168425,105.50496034835807,-8.98483932591914,-4.194557275584476,8.401367912981573,-6.7552424313731025
2012-02-08,9.004505337846298,-7.815546347786033,-4.837882768870555,5.029139536946645,-2.1014494216050412,105.50496034835807,-8.98483932591914,-4.194557275584476,8.401367912981573,-6.7552424313731025
2012-02-09,9.004505337846298,-7.815546347786033,-4.837882768870555,5.029139536946645,-0.20196858505626303,105.50496034835807,-8.98483932591914,-4.194557275584476,10.56197159713803,-6.7552424313731025
2012-02-10,9.004505337846298,-5.308423891602659,-3.452333707650184,1.1364680195429,-0.20196858505626303,92.99561011093876,-8.98483932591914,-4.194557275584476,10.56197159713803,-6.7552424313731025
2012-02-13,9.004505337846298,-5.308423891602659,-3.452333707650184,1.1364680195429,-0.20196858505626303,92.99561011093876,-8.98483932591914,-4.194557275584476,10.56197159713803,-6.7552424313731025
2012-02-14,9.004505337846298,-5.308423891602659,-4.887858035210152,1.1364680195429,-0.20196858505626303,92.99561011093876,-8.98483932591914,-4.194557275584476,7.402200381792136,-5.877450877570333
2012-02-15,9.004505337846298,-5.308423891602659,-4.887858035210152,1.1364680195429,-0.20196858505626303,92.99561011093876,-5.547317983420342,-0.7899534525465783,7.402200381792136,-5.877450877570333
2012-02-16,9.004505337846298,-5.308423891602659,-4.887858035210152,1.1364680195429,-0.20196858505626303,92.99561011093876,-5.547317983420342,0.5576655917314598,7.402200381792136,-5.877450877570333
2012-02-17,9.004505337846298,-5.308423891602659,-4.887858035210152,1.1364680195429,-0.20196858505626303,92.99561011093876,-2.7962273636366075,0.5576655917314598,7.402200381792136,-5.877450877570333
2012-02-20,9.004505337846298,-4.171955872059759,-4.887858035210152,0.0,-1.7688579514388787,92.99561011093876,1.4347529851512475,0.5576655917314598,7.402200381792136,-5.877450877570333
2012-02-21,9.004505337846298,-4.171955872059759,-4.887858035210152,0.0,-1.7688579514388787,87.1893112199632,3.0098515945629267,0.5576655917314598,13.23626697674798,-5.877450877570333
2012-02-22,9.004505337846298,-4.171955872059759,-4.887858035210152,0.0,-1.7688579514388787,82.08612536383157,3.0098515945629267,0.5576655917314598,13.23626697674798,-5.877450877570333
2012-02-23,9.004505337846298,-4.171955872059759,-3.2013576195063385,0.0,-1.7688579514388787,82.08612536383157,3.0098515945629267,0.5576655917314598,13.23626697674798,-5.877450877570333
2012-02-24,7.483869142044457,-4.171955872059759,-0.7055651051139089,-4.571698678082856,-1.7688579514388787,82.08612536383157,3.0098515945629267,0.5576655917314598,13.23626697674798,-5.877450877570333
2012-02-27,4.927746703699091,-1.615833433714391,-0.7055651051139089,-4.571698678082856,-1.7688579514388787,82.08612536383157,3.0098515945629267,1.5050762494559637,13.23626697674798,-5.877450877570333
2012-02-28,4.927746703699091,-1.615833433714391,-0.7055651051139089,-4.571698678082856,-1.7688579514388787,82.08612536383157,3.0098515945629267,1.5050762494559637,13.23626697674798,-3.2785966249822005
2012-02-29,4.927746703699091,-1.615833433714391,-0.7055651051139089,-4.571698678082856,-1.7688579514388787,76.72416166624805,3.0098515945629267,3.4046038230378977,13.23626697674798,-2.40585236271549
2012-03-01,4.927746703699091,-1.615833433714391,-0.7055651051139089,-4.571698678082856,0.04652427162192482,76.72416166624805,5.3312234091718205,3.4046038230378977,13.23626697674798,-2.40585236271549
2012-03-02,-0.05797644777793926,-1.615833433714391,-0.7055651051139089,-4.571698678082856,0.04652427162192482,76.72416166624805,7.817612758427492,3.4046038230378977,13.23626697674798,-2.40585236271549
2012-03-05,-0.05797644777793926,-1.615833433714391,-0.7055651051139089,-4.571698678082856,0.04652427162192482,76.72416166624805,7.817612758427492,3.4046038230378977,13.23626697674798,-2.40585236271549
2012-03-06,-0.05797644777793926,-1.615833433714391,-0.7055651051139089,-4.571698678082856,0.04652427162192482,76.72416166624805,8.514396286951744,3.4046038230378977,13.23626697674798,-2.40585236271549
2012-03-07,-0.05797644777793926,-1.615833433714391,-0.7055651051139089,-4.571698678082856,0.04652427162192482,76.72416166624805,8.514396286951744,0.0,13.23626697674798,-2.40585236271549
2012-03-08,-0.05797644777793926,-1.615833433714391,-0.7055651051139089,-4.571698678082856,0.04652427162192482,76.72416166624805,8.514396286951744,0.0,13.23626697674798,-2.40585236271549
2012-03-09,-0.05797644777793926,-1.615833433714391,-0.7055651051139089,-4.571698678082856,1.991001826611584,76.72416166624805,8.514396286951744,0.0,13.23626697674798,-4.908915481721936
2012-03-12,-0.05797644777793926,-1.615833433714391,-0.7055651051139089,-4.571698678082856,3.7069788876873124,76.72416166624805,8.514396286951744,0.0,13.23626697674798,-4.908915481721936
2012-03-13,-0.05797644777793926,-1.615833433714391,1.9788930382893233,-7.256156821486089,5.248216550444205,76.72416166624805,12.409695162085042,2.372491181717897,13.23626697674798,-4.908915481721936
2012-03-14,-0.05797644777793926,-1.615833433714391,1.9788930382893233,-7.256156821486089,5.248216550444205,95.5787512488585,14.573324970235587,2.372491181717897,14.97865752401933,-4.908915481721936
2012-03-15,-0.05797644777793926,-1.615833433714391,1.9788930382893233,-7.256156821486089,2.994365094880822,75.14475626992342,14.573324970235587,2.372491181717897,12.671046100810004,-4.908915481721936
2012-03-16,-0.05797644777793926,-1.615833433714391,1.9788930382893233,-7.256156821486089,2.994365094880822,63.29958133271382,16.39813078734077,2.372491181717897,13.607433784233306,-4.908915481721936
2012-03-19,-0.05797644777793926,-1.615833433714391,1.9788930382893233,-7.256156821486089,2.994365094880822,42.700260957473674,18.613938260676278,2.372491181717897,13.461572849610523,-4.908915481721936
2012-03-20,-0.05797644777793926,-1.615833433714391,1.9788930382893233,-7.256156821486089,2.994365094880822,42.700260957473674,18.613938260676278,2.372491181717897,13.461572849610523,-4.908915481721936
2012-03-21,-0.05797644777793926,-1.615833433714391,3.2803855109103024,-7.256156821486089,2.994365094880822,42.700260957473674,18.613938260676278,2.372491181717897,11.514683582307715,-4.908915481721936
2012-03-22,-0.05797644777793926,-1.615833433714391,3.2803855109103024,-7.256156821486089,2.994365094880822,37.11492029186092,18.613938260676278,2.372491181717897,11.514683582307715,-4.908915481721936
2012-03-23,-0.05797644777793926,-1.615833433714391,3.2803855109103024,-7.256156821486089,2.994365094880822,37.11492029186092,18.613938260676278,2.372491181717897,11.514683582307715,-4.908915481721936
