,SXXP_Sentiment,price
2010-01-01,0.27025083459843746,
2010-01-04,0.2660264431832559,1700.5
2010-01-05,0.3288435258323131,1696.5
2010-01-06,0.48527305438481233,1691.5
2010-01-07,0.7278508286994139,1692.5
2010-01-08,0.744372269078865,1703.5
2010-01-11,0.7394882440184888,1690.5
2010-01-12,0.6990638551248815,1662.5
2010-01-13,0.6621341419799769,1663.5
2010-01-14,0.7545749499865486,1673.5
2010-01-15,0.8029043847591026,1621.5
2010-01-18,0.7191369162468664,1643.5
2010-01-19,0.7300186130571934,1668.5
2010-01-20,0.7156122025461971,1599.5
2010-01-21,0.6180694972382045,1546.5
2010-01-22,0.6036483395546517,1521.5
2010-01-25,0.5684512048995103,1491.5
2010-01-26,0.5425843477857506,1510.5
2010-01-27,0.4418657540506947,1468.5
2010-01-28,0.397416227187431,1433.5
2010-01-29,0.3803547552891715,1458.5
2010-02-01,0.38083642594074163,1480.5
2010-02-02,0.37470836148466435,1517.5
2010-02-03,0.3188254202493376,1489.5
2010-02-04,0.2575448796784111,1395.5
2010-02-05,0.2556118739413261,1326.5
2010-02-08,0.2485822664573046,1350.5
2010-02-09,0.23174645865629576,1346.5
2010-02-10,0.19816557166496454,1382.5
2010-02-11,0.20857023555110238,1368.5
2010-02-12,0.1798978963740384,1361.5
2010-02-15,0.17067869745318195,1367.5
2010-02-16,0.1854528042233508,1404.5
2010-02-17,0.23734858371649142,1444.5
2010-02-18,0.17015413526211434,1465.5
2010-02-19,0.16528831597251956,1481.5
2010-02-22,0.18496648044418315,1462.5
2010-02-23,0.25379975334844673,1413.5
2010-02-24,0.2372133738432156,1418.5
2010-02-25,0.2876663115478946,1372.5
2010-02-26,0.3104070619310141,1409.5
2010-03-01,0.4065537126008774,1456.5
2010-03-02,0.31387812439661966,1479.5
2010-03-03,0.2911941359397227,1506.5
2010-03-04,0.3682155604591666,1502.5
2010-03-05,0.3462940672440107,1563.5
2010-03-08,0.35882937763771094,1563.5
2010-03-09,0.37352326512585526,1566.5
2010-03-10,0.4629551326379233,1593.5
2010-03-11,0.4740028165761811,1579.5
2010-03-12,0.5354610946317593,1583.5
2010-03-15,0.5142293372385187,1558.5
2010-03-16,0.5783603168199136,1592.5
2010-03-17,0.6524579735043623,1615.5
2010-03-18,0.5784062777512171,1599.5
2010-03-19,0.6372477106006844,1580.5
2010-03-22,0.6228717401038589,1571.5
2010-03-23,0.631185267589699,1598.5
2010-03-24,0.6906767254156192,1589.5
2010-03-25,0.6980615889707282,1631.5
2010-03-26,0.6311434415238022,1620.5
2010-03-29,0.6636727694921769,1633.5
2010-03-30,0.674936742217514,1627.5
2010-03-31,0.7600602562825715,1607.5
2010-04-01,0.785064934920594,1658.5
2010-04-02,0.6601513532294777,1658.5
2010-04-05,0.6898749579123282,1658.5
2010-04-06,0.7088772661662718,1670.5
2010-04-07,0.6704394549825355,1661.5
2010-04-08,0.6811880189740663,1627.5
2010-04-09,0.6994276782738872,1679.5
2010-04-12,0.691457725171706,1688.5
2010-04-13,0.6970529198674675,1676.5
2010-04-14,0.6631930305951608,1697.5
2010-04-15,0.7723216108379297,1697.5
2010-04-16,0.8681497013833447,1634.5
2010-04-19,0.8369121301356977,1623.5
2010-04-20,0.8485693485821242,1666.5
2010-04-21,0.8468552171351075,1630.5
2010-04-22,0.7970096393445875,1587.5
2010-04-23,0.7751212267359356,1604.5
2010-04-26,0.7891971077375228,1635.5
2010-04-27,0.7719808117839002,1534.5
2010-04-28,0.7355764187922306,1474.5
2010-04-29,0.7579292411774483,1518.5
2010-04-30,0.6665340901708723,1504.5
2010-05-03,0.6515206385346051,1516.5
2010-05-04,0.6740936611389147,1412.5
2010-05-05,0.6918235182713395,1390.5
2010-05-06,0.6235529791351607,1336.5
2010-05-07,0.6613456659934787,1221.5
2010-05-10,0.6251850078413472,1473.5
2010-05-11,0.47463302022892984,1457.5
2010-05-12,0.3939217571444116,1495.5
2010-05-13,0.3181541789782362,1491.5
2010-05-14,0.3483547494505984,1355.5
2010-05-17,0.37298941328147434,1364.5
2010-05-18,0.2825658888205268,1428.5
2010-05-19,0.2051943485441332,1350.5
2010-05-20,0.2510219571182456,1304.5
2010-05-21,0.2180469849326153,1311.5
2010-05-24,0.19728340569495892,1301.5
2010-05-25,0.3134350504458027,1237.5
2010-05-26,0.2910891377636423,1276.5
2010-05-27,0.19832292159863157,1372.5
2010-05-28,0.05979700409896731,1363.5
2010-05-31,0.04711419637424471,1357.5
2010-06-01,0.12234507621075079,1353.5
2010-06-02,0.046478643786970045,1354.5
2010-06-03,0.09704876036622326,1381.5
2010-06-04,0.10225373826993003,1298.5
2010-06-07,0.11563349153744713,1273.5
2010-06-08,0.1120340029705473,1256.5
2010-06-09,0.10634926337673697,1308.5
2010-06-10,0.09362355974713596,1358.5
2010-06-11,0.15157340721622808,1388.5
2010-06-14,0.19164769477085686,1436.5
2010-06-15,0.16282653677667874,1471.5
2010-06-16,0.22648162406523045,1475.5
2010-06-17,0.3326583741013694,1481.5
2010-06-18,0.39116858299169377,1493.5
2010-06-21,0.411856595092641,1523.5
2010-06-22,0.41433922095756337,1503.5
2010-06-23,0.4110356925387271,1466.5
2010-06-24,0.31999280949745473,1401.5
2010-06-25,0.3144077946001443,1388.5
2010-06-28,0.3104424854428637,1424.5
2010-06-29,0.3332928424352469,1320.5
2010-06-30,0.35222259547907997,1329.5
2010-07-01,0.26158066376701833,1277.5
2010-07-02,0.10922606165992081,1280.5
2010-07-05,0.1057130014482596,1268.5
2010-07-06,0.1404193026188869,1326.5
