,daily,3m flow $b,price
2010-01-01,0.0,,
2010-01-04,0.0,,311.779
2010-01-05,28.939968644356874,,313.093
2010-01-06,9.416023392213145,,313.237
2010-01-07,16.46343376234552,,313.143
2010-01-08,53.31482044029239,,313.294
2010-01-11,106.92745713884376,,314.466
2010-01-12,31.994820532416593,,314.919
2010-01-13,63.97376723752296,,314.059
2010-01-14,18.44518336428533,,313.567
2010-01-15,-4.030767917369111,,313.666
2010-01-18,82.30880403346713,,313.666
2010-01-19,39.65449747928481,,313.964
2010-01-20,234.75282127963678,,313.874
2010-01-21,103.60658104493554,,312.748
2010-01-22,42.86366831937859,,312.005
2010-01-25,29.03379303403337,,312.845
2010-01-26,33.61555669781808,,312.412
2010-01-27,74.88395013637218,,311.778
2010-01-28,59.8296184367166,,311.053
2010-01-29,-27.334800205341537,,311.009
2010-02-01,64.96766519518603,,311.08
2010-02-02,45.569254500771265,,311.509
2010-02-03,11.25458485186504,,311.313
2010-02-04,88.72465420693656,,309.705
2010-02-05,30.84354211156991,,308.906
2010-02-08,24.907306295300184,,309.131
2010-02-09,21.631389566074574,,309.192
2010-02-10,53.35101154261566,,309.823
2010-02-11,9.655298632802042,,310.874
2010-02-12,44.206588404602535,,310.473
2010-02-15,96.50028102992832,,310.473
2010-02-16,29.333466278935397,,310.609
2010-02-17,170.8572095781383,,310.985
2010-02-18,88.48213052856059,,310.896
2010-02-19,25.409931865019335,,311.176
2010-02-22,138.90777240816126,,311.807
2010-02-23,176.50640432139858,,311.528
2010-02-24,151.03994427004199,,312.503
2010-02-25,232.0625760736036,,313.552
2010-02-26,2564.5422942402497,,315.613
2010-03-01,36.961716261401676,,317.267
2010-03-02,75.90199650645899,,317.543
2010-03-03,85.59569014331981,,317.372
2010-03-04,26.530643191169663,,318.037
2010-03-05,89.86006894444914,,319.055
2010-03-08,83.8482534040812,,320.176
2010-03-09,114.31194069789575,,320.881
2010-03-10,100.41901303237034,,321.484
2010-03-11,116.19248451021161,,321.451
2010-03-12,122.29019153368996,,322.575
2010-03-15,116.93059389531692,,322.948
2010-03-16,160.76501333827005,,323.24
2010-03-17,73.30796770895316,,324.495
2010-03-18,106.20042500253551,,324.02
2010-03-19,62.39588737345304,,323.927
2010-03-22,134.3872665167949,,323.587
2010-03-23,93.89715847075847,,323.972
2010-03-24,56.32638890898826,,323.432
2010-03-25,76.88632445328152,,323.141
2010-03-26,95.29090552633532,,322.891
2010-03-29,98.09788999299859,,322.962
2010-03-30,185.34984516525932,,323.405
2010-03-31,4601.533244090084,,323.648
2010-04-01,210.83206980396477,11.991525481225011,323.994
2010-04-02,0.0,11.991525481225011,323.994
2010-04-05,104.16376535317278,12.095689246578184,324.347
2010-04-06,158.21487884183597,12.224964156775663,324.394
2010-04-07,233.7940179202368,12.449342151303687,324.646
2010-04-08,298.7682616808076,12.731646979222148,324.771
2010-04-09,234.66031755070028,12.912992476332558,325.064
2010-04-12,304.3262479292184,13.110391267122933,325.995
2010-04-13,217.81416126546887,13.296210607855983,326.679
2010-04-14,233.61265423666487,13.465849494855124,327.766
2010-04-15,65.23092647310303,13.512635237963943,328.717
2010-04-16,135.97093038197815,13.65263693626329,328.227
2010-04-19,198.5154030776665,13.768843535307491,328.049
2010-04-20,138.14134509372607,13.867330382921933,328.666
2010-04-21,121.57042488976364,13.754147986532058,328.674
2010-04-22,242.87747919318846,13.893418884680312,327.762
2010-04-23,30.380354064435526,13.880935570425368,327.628
2010-04-26,98.81296539775711,13.950714742789092,327.9
2010-04-27,38.757411766981015,13.955856597858256,325.965
2010-04-28,123.37227112388436,14.004344918845767,324.933
2010-04-29,120.07931060736102,14.064594611016412,325.768
2010-04-30,4108.3030299759375,18.20023244119769,325.971
2010-05-03,17.028017832587842,18.152292793835095,326.21
2010-05-04,81.12131610956365,18.187844855443885,324.569
2010-05-05,99.39762333903224,18.275987893931052,322.309
2010-05-06,-35.47247937984136,18.151790760344273,318.414
2010-05-07,-4.084869489129306,18.116862348743577,316.864
2010-05-10,-76.06155658542298,18.01589348586285,321.924
2010-05-11,-20.8785581816179,17.97338353811516,322.585
2010-05-12,37.16692095304951,17.957199447525593,324.362
2010-05-13,70.18952284162297,18.017733671734412,325.197
2010-05-14,43.038131360789464,18.0165652146906,324.125
2010-05-17,-64.08009323150125,17.855984840429173,323.374
2010-05-18,7.281359405030664,17.83393273355527,322.906
2010-05-19,0.2270703083347314,17.663302594285465,321.132
2010-05-20,66.97400878894712,17.64179447254585,318.423
2010-05-21,47.271695757481055,17.663656236438314,318.164
2010-05-24,160.04854877434903,17.6847970128045,319.17
2010-05-25,-80.43155817264429,17.427859050310456,316.5
2010-05-26,199.21378666075486,17.47603289270117,318.734
2010-05-27,-85.55764814985305,17.158412668477713,320.718
2010-05-28,1996.0630765158653,16.58993345075333,320.93
2010-05-31,188.30034770231498,16.741272082194243,320.93
2010-06-01,234.075727259476,16.89944581294726,320.658
2010-06-02,-12.008537519041877,16.8018415852849,321.535
2010-06-03,112.68217762692197,16.88799311972065,322.329
2010-06-04,90.68909995392916,16.888822150730128,320.363
2010-06-07,46.70797769624338,16.85168187502229,319.917
2010-06-08,-4.2389620817493245,16.733130972242645,319.216
2010-06-09,128.40590668713716,16.761117865897415,320.604
2010-06-10,100.15865088249124,16.745084032269695,321.688
2010-06-11,48.35002032311962,16.67114386105912,322.15
2010-06-14,195.96598072558515,16.750179247889392,322.987
2010-06-15,82.23841110392935,16.67165264565505,323.829
2010-06-16,55.27880498809783,16.653623482934194,324.728
2010-06-17,37.87351576675989,16.585296573698418,325.839
2010-06-18,141.82733162174043,16.664728017946707,327.017
2010-06-21,47.077037981054836,16.577417789410966,327.755
2010-06-22,121.5632398920943,16.6050838708323,327.718
2010-06-23,-8.079857491030836,16.540677624432284,327.675
2010-06-24,51.5069873818476,16.51529828736085,327.17
2010-06-25,81.67991743329064,16.501687299267804,327.24
2010-06-28,52.92770913108253,16.456517118405888,328.059
2010-06-29,196.86061243956598,16.468027885680197,327.448
2010-06-30,2472.923242309163,14.339417883899275,327.494
2010-07-01,90.66690332492212,14.21925271742023,326.892
2010-07-02,80.36102241130794,14.29961373983154,327.319
2010-07-05,-8.081582408002774,14.187368392070365,327.319
2010-07-06,79.89652693644763,14.109050040164977,328.125
2010-07-07,47.20169513890743,13.922457717383645,329.425
2010-07-08,18.23171090735602,13.641921166610194,330.661
2010-07-09,-32.8032415991278,13.374457607460366,331.305
2010-07-12,51.33340529333253,13.12146476482448,331.921
2010-07-13,53.343135983293,12.956993739542305,333.014
2010-07-14,90.66973513129908,12.81405082043694,333.507
2010-07-15,227.8317166530235,12.97665161061686,334.283
2010-07-16,225.70727419347423,13.066387954428356,334.817
2010-07-19,32.72429833089642,12.900596849681586,335.108
2010-07-20,10.248153262938825,12.772703657850798,335.894
2010-07-21,47.72292300827721,12.698856155969313,337.072
2010-07-22,26.921941423875076,12.482900618199997,338.525
2010-07-23,35.76232927295898,12.48828259340852,339.229
2010-07-26,130.84652409810323,12.520316152108867,340.334
2010-07-27,197.15780211135265,12.67871654245324,340.889
2010-07-28,99.2383895410352,12.65458266087039,340.742
2010-07-29,95.36470996115175,12.629868060224181,341.489
2010-07-30,3429.8493949561503,11.951414425204394,341.899
2010-08-02,99.00276607169252,12.033389173443497,343.686
2010-08-03,80.33576396469506,12.03260362129863,345.102
2010-08-04,49.81395481079741,11.983019952770395,345.609
2010-08-05,209.50721348632277,12.227999645636558,345.945
2010-08-06,189.00363438546498,12.421088149511153,347.109
2010-08-09,14.102673217138383,12.511252379313715,349.472
2010-08-10,12.801833405339172,12.544932770900672,349.505
2010-08-11,9.679759677937337,12.51744560962556,349.602
2010-08-12,99.13060062055513,12.546386687404492,349.28
2010-08-13,21.26597244299432,12.524614528486698,349.486
2010-08-16,24.637851303081263,12.61333247302128,349.93
2010-08-17,51.53423709895325,12.657585350715202,351.9
2010-08-18,34.53618382803646,12.691894464234903,353.766
2010-08-19,52.14103971498997,12.677061495160947,354.638
2010-08-20,58.66199011128849,12.688451789514755,354.798
2010-08-23,67.35283035892641,12.59575607109933,355.385
2010-08-24,43.96970626109068,12.720157335533065,353.817
2010-08-25,49.11090475617105,12.570054453628483,352.494
2010-08-26,73.93118234911516,12.72954328412745,352.164
2010-08-27,85.92547586272616,10.819405683474312,350.901
2010-08-30,31.67406392213293,10.662779399694129,350.521
2010-08-31,2482.4334576654437,12.911137130100096,350.522
2010-09-01,253.74912141298114,13.176894789032122,351.592
2010-09-02,137.34724396451443,13.201559855369712,351.782
2010-09-03,10.212942132439146,13.121083697548224,351.742
2010-09-06,25.52392201327466,13.099899641865255,351.742
2010-09-07,29.972921207574796,13.134111525154578,350.805
2010-09-08,52.72614624321026,13.058431764710653,349.786
2010-09-09,28.102865067831555,12.986375978895992,349.228
2010-09-10,72.57395297975326,13.010599911552626,349.094
2010-09-13,152.58424575231618,12.967218176579356,349.478
2010-09-14,98.5438710855493,12.983523636560976,350.164
2010-09-15,87.43006916684733,13.015674900739727,350.964
2010-09-16,112.68333247334188,13.090484717446309,350.956
2010-09-17,63.62512764919781,13.012282513473766,350.147
2010-09-20,52.7041503537946,13.017909625846505,350.521
2010-09-21,33.30707230276081,12.929653458257171,350.755
2010-09-22,156.5973470645201,13.094330662812723,352.161
2010-09-23,44.30814186448972,13.087131817295363,351.745
2010-09-24,158.4421419756301,13.163894041837704,352.543
2010-09-27,30.55243965128355,13.141518772357903,353.706
2010-09-28,122.58702711535668,13.067245187033697,354.387
2010-09-29,119.76697677719605,10.714088921501729,356.217
2010-09-30,3987.5156413259097,14.610937659502717,356.421
2010-10-01,101.793023626141,14.63236966071755,356.838
2010-10-04,58.15459951291266,14.698605842638466,357.025
2010-10-05,93.1756604394792,14.711884976141494,358.166
2010-10-06,80.63596695625165,14.74531924795884,359.609
2010-10-07,159.00838943423756,14.886095926485723,360.363
2010-10-08,81.00324792612047,14.99990241601097,361.433
2010-10-11,93.80058246814345,15.04236959318578,361.433
2010-10-12,88.29046338454326,15.07731692058703,362.823
2010-10-13,212.90104921400967,15.199548234669741,364.634
2010-10-14,136.56564387940116,15.108282161896119,364.158
2010-10-15,112.46911757732975,14.995044005279976,362.805
2010-10-18,117.508556813255,15.079828263762334,362.131
