,GC1,SI1,PL1,PA1,HG1,CL1,CO1,XB1,HO1,QS1,NG1,C1,W1,S1,SB1,CT1,SOYM1,BO1,KC1,CC1,ALUMINIUM,NICKEL,ZINC,LEAD
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-02,-0.054124043982030814,-0.06058221872541303,-0.030151112379796906,-0.020900825582610517,0.05602068456045332,0.19203249780732143,,0.13917093413385115,1.642227146332985,,,-0.10491803278688525,0.23664130216215642,-0.10294526257293693,,-0.01924707174668384,,,-0.10466902733389716,,,,,
1990-01-03,-0.05380817428104461,-0.061739670478208684,-0.029828318456665504,-0.020002105484787633,0.0699896810085697,0.2771230840826869,,0.11890414496621307,1.5151611737957116,,,-0.10459619833048375,0.23298719097569975,-0.09408050948214365,,-0.03244314797418682,,,-0.1047228507932136,,,,,
1990-01-04,-0.05429743298443752,-0.06195454680844732,-0.031093175156770486,-0.020817069997397866,0.08674947298178576,0.35018442842493497,,0.09772923253808663,1.133133308512734,,,-0.10470325687534608,0.23343755281392597,-0.09885021952248435,,-0.03950052812061467,,,-0.0956518417703832,,,,,
1990-01-05,-0.053286332055827675,-0.062143691795616615,-0.039034350228200815,-0.025851817382762005,0.08199675617228305,0.42731698154554015,,-0.057841056882743595,0.8356098344849753,,,-0.10917764041924215,0.23893020111543012,-0.09523925259928856,,-0.05331835992334287,,,-0.08832714606723159,,,,,
1990-01-08,-0.053741215378255484,-0.06300823953901695,-0.0396286231884058,-0.020733982998133938,0.08648472842316904,0.2515290143801137,,-0.17602511563256446,0.7706830206830207,,,-0.10438273670123786,0.22721290417680073,-0.0907061433734505,,-0.04948779642653217,,,-0.09898712271593653,,,,,
1990-01-09,-0.05358438303765745,-0.06238078671769101,-0.03811461980235592,-0.015561780267662622,0.08344404472242561,0.3547354914158558,,0.036750848096494836,0.8034073826624354,,,-0.10448935849562115,0.22621889755424693,-0.09606808288321111,,-0.050568531300219766,,,-0.09218768467084247,,,,,
1990-01-10,-0.05463818368452095,-0.06233757007796599,-0.03643002717391317,-0.015477480266212663,0.07502581860154271,0.3710150381835004,,0.11249213341724296,0.7519222332540578,,,-0.10481053480247245,0.2182250884480945,-0.096553939798014,,-0.057789478363519976,,,-0.08992360917011756,,,,,
1990-01-11,-0.05549045427272424,-0.062371909539999396,-0.03655855333799173,-0.01655714803125185,0.07624633431085055,0.39226665422363194,,0.1821295143212959,0.895964206625389,,,-0.10459619833048375,0.22447717921933957,-0.0957517475898576,,-0.06610649683996399,,,-0.08734157886700289,,,,,
1990-01-12,-0.05664510871100137,-0.06286489355428425,-0.036823770145266,-0.015410695022345506,0.06433056010886745,0.40512956355080487,,0.12140077821011723,1.037509976057463,,,-0.10720058053237458,0.21757789030984462,-0.09688058384849886,,-0.06909431349411387,,,-0.09332003988035859,,,,,
1990-01-15,-0.05762550674178131,-0.06314880449058129,-0.03692430305907851,-0.018367346938775626,0.04895192669762783,0.3629595160539791,,0.08101432197244443,0.6047579790366263,,,-0.11070896316797958,0.2335118757777417,-0.09720944548880353,,-0.0627833972793858,,,-0.12047629371729267,,,,,
1990-01-16,-0.05698421975452987,-0.06330179264905642,-0.037221904086289795,-0.018620047584566167,0.052825706426606535,0.2727211206604863,,0.0698392801181891,0.713685070395464,,,-0.111264731055369,0.24323648112088941,-0.09805753037421883,,-0.06124537163132104,,,-0.09996475601550721,,,,,
1990-01-17,-0.05678026764374057,-0.06303162355814444,-0.03597643011631669,-0.018742190753852087,0.05101640373597049,0.25120772946860004,,-0.06008226648796023,0.43361170133913174,,,-0.107525102975964,0.2355478861087144,-0.1003809681633315,,-0.056579138256201415,,,-0.09846329927793564,,,,,
