,SP_Sentiment,price
2010-01-01,,
2010-01-04,0.2021574942410207,892.7999999999997
2010-01-05,0.21145966397368976,896.2999999999997
2010-01-06,0.5729562499805749,897.0499999999997
2010-01-07,0.7029845200322331,901.5499999999997
2010-01-08,0.7054043874173145,905.5499999999997
2010-01-11,0.7203172526940015,906.5499999999997
2010-01-12,0.7291731665159998,898.0499999999997
2010-01-13,0.7161649356874052,905.5499999999997
2010-01-14,0.7344011557656422,909.2999999999997
2010-01-15,0.7476596546060895,896.2999999999997
2010-01-18,0.7476596546060895,896.2999999999997
2010-01-19,0.7598532770174918,909.7999999999997
2010-01-20,0.663552850400868,898.0499999999997
2010-01-21,0.5262355326955998,875.0499999999997
2010-01-22,0.5194622050888913,855.0499999999997
2010-01-25,0.5164662258389568,856.5499999999997
2010-01-26,0.5065026013182122,851.2999999999997
2010-01-27,0.3386919708101301,858.5499999999997
2010-01-28,0.2815882574265482,843.2999999999997
2010-01-29,0.27818265385986735,834.5499999999997
2010-02-01,0.27883711121185456,850.2999999999997
2010-02-02,0.27333855115946365,861.2999999999997
2010-02-03,0.24546976166189452,860.5499999999997
2010-02-04,0.11350846505267782,825.7999999999997
2010-02-05,0.08675456362652105,823.7999999999997
2010-02-08,0.07928816208165014,820.0499999999997
2010-02-09,0.07221842542643302,830.2999999999997
2010-02-10,0.070756452939253,827.2999999999997
2010-02-11,0.14883110144484527,840.5499999999997
2010-02-12,0.14743155012397718,843.0499999999997
2010-02-15,0.14743155012397718,843.0499999999997
2010-02-16,0.14772127018012196,857.2999999999997
2010-02-17,0.1468277232634291,863.5499999999997
2010-02-18,0.19936052433254203,869.5499999999997
2010-02-19,0.20551930272853147,870.2999999999997
2010-02-22,0.20948992394993482,871.5499999999997
2010-02-23,0.20818094962590525,861.2999999999997
2010-02-24,0.21902027849853234,867.5499999999997
2010-02-25,0.2326969283436855,866.2999999999997
2010-02-26,0.2296809650579075,867.5499999999997
2010-03-01,0.24343111054226255,878.5499999999997
2010-03-02,0.24744213622912525,881.5499999999997
2010-03-03,0.256981900203751,882.5499999999997
2010-03-04,0.3067182736723163,886.2999999999997
2010-03-05,0.3208405089665963,900.5499999999997
2010-03-08,0.3339513162496835,901.0499999999997
2010-03-09,0.3693028669331808,904.5499999999997
2010-03-10,0.4100855609373171,909.7999999999997
2010-03-11,0.48419827835671186,914.5499999999997
2010-03-12,0.5023466193468965,915.2999999999997
2010-03-15,0.5091495116132024,914.2999999999997
2010-03-16,0.5169746143082126,923.5499999999997
2010-03-17,0.5905935156958203,929.7999999999997
2010-03-18,0.4866713572344528,930.0499999999997
2010-03-19,0.49068180451158333,925.0499999999997
2010-03-22,0.5040641356033392,930.7999999999997
2010-03-23,0.5476211683246,938.2999999999997
2010-03-24,0.6421853790080463,933.2999999999997
2010-03-25,0.6151439387367081,931.5499999999997
2010-03-26,0.6238480834596194,932.2999999999997
2010-03-29,0.6221054918011591,937.5499999999997
2010-03-30,0.6301798519741375,938.2999999999997
2010-03-31,0.7433612133243739,934.0499999999997
2010-04-01,0.8701873936446914,942.5499999999997
2010-04-02,0.8701873936446914,942.5499999999997
2010-04-05,0.8719415494572093,951.7999999999997
2010-04-06,0.8739170136954435,954.5499999999997
2010-04-07,0.8840211879048002,947.7999999999997
2010-04-08,0.9054354808580737,952.5499999999997
2010-04-09,0.9064524309854498,961.2999999999997
2010-04-12,0.9089364039883047,961.2999999999997
2010-04-13,0.9089364039883047,961.7999999999997
2010-04-14,0.9195555530837041,975.2999999999997
2010-04-15,0.9581555530837039,977.2999999999997
2010-04-16,0.9561162364247897,959.0499999999997
2010-04-19,0.9581555530837039,964.2999999999997
2010-04-20,0.9581555530837039,974.2999999999997
2010-04-21,0.9507094323074708,969.2999999999997
2010-04-22,0.8148228030076443,970.5499999999997
2010-04-23,0.8134292103429948,981.0499999999997
2010-04-26,0.8148228030076443,977.0499999999997
2010-04-27,0.8133467756772106,949.7999999999997
2010-04-28,0.7838174613481047,958.7999999999997
2010-04-29,0.872081792978482,974.0499999999997
2010-04-30,0.867917321362397,952.2999999999997
2010-05-03,0.8600321981924396,967.2999999999997
2010-05-04,0.8554467138391061,941.2999999999997
2010-05-05,0.8350838036325386,932.7999999999997
2010-05-06,0.7994233078903851,891.2999999999997
2010-05-07,0.7623463780063662,875.7999999999997
2010-05-10,0.7132243076919899,925.2999999999997
2010-05-11,0.6798398350488138,921.0499999999997
2010-05-12,0.5933436861612461,938.5499999999997
2010-05-13,0.46473401510232054,925.5499999999997
2010-05-14,0.44901083086947624,904.0499999999997
2010-05-17,0.43114734370240554,903.2999999999997
2010-05-18,0.4145090082897435,887.5499999999997
2010-05-19,0.2756565323354124,878.7999999999997
2010-05-20,0.32801344022067364,838.7999999999997
2010-05-21,0.2999467607097382,853.2999999999997
2010-05-24,0.2974814478708139,839.7999999999997
2010-05-25,0.2974814478708139,841.7999999999997
2010-05-26,0.24235725907610262,830.0499999999997
2010-05-27,0.05224060988841526,869.7999999999997
2010-05-28,0.05452503776801285,857.2999999999997
2010-05-31,0.05452503776801285,857.2999999999997
2010-06-01,0.05224060988841526,838.2999999999997
2010-06-02,0.04636389673773019,865.5499999999997
2010-06-03,0.1395198653430191,872.2999999999997
2010-06-04,0.1423254949991917,834.7999999999997
2010-06-07,0.15774742633899574,816.7999999999997
2010-06-08,0.1563567555077353,828.0499999999997
2010-06-09,0.1529406720352388,824.2999999999997
2010-06-10,0.08391660471997435,852.5499999999997
2010-06-11,0.08121650722425895,858.0499999999997
2010-06-14,0.08511718437460906,859.2999999999997
