Unnamed: 0,EXT,APF,EVT,HEDGE,Intraday
2019-05-03,-203.826937499975,0.0,0.0,0.0,-203.826937499975
2019-05-06,1281.123000000007,0.0,0.0,0.0,1281.123000000007
2019-05-07,501.2025000000114,0.0,77.87607586873742,-883.6186796970225,-304.5401038282736
2019-05-08,0.0,0.0,-407.8066012784423,0.0,-407.8066012784423
2019-05-09,0.0,0.0,-46.80305562582056,0.0,-46.80305562582056
2019-05-10,-42.80581249999546,0.0,0.0,0.0,-42.80581249999546
2019-05-13,261.7776875000025,0.0,0.0,237.3666452385175,499.14433273852
2019-05-14,0.0,0.0,0.0,0.0,0.0
2019-05-15,0.0,0.0,0.0,0.0,0.0
2019-05-16,0.0,0.0,0.0,0.0,0.0
2019-05-17,64.1094999999932,0.0,0.0,0.0,64.1094999999932
2019-05-20,0.0,0.0,0.0,0.0,0.0
2019-05-21,0.0,0.0,0.0,0.0,0.0
2019-05-22,0.0,0.0,0.0,0.0,0.0
2019-05-23,-1177.657499999984,0.0,0.0,0.0,-1177.657499999984
2019-05-24,-361.0898124999911,0.0,0.0,0.0,-361.0898124999911
2019-05-27,0.0,0.0,0.0,0.0,0.0
2019-05-28,0.0,0.0,0.0,0.0,0.0
2019-05-29,0.0,0.0,-62.16148334194928,0.0,-62.16148334194928
2019-05-30,0.0,0.0,0.0,0.0,0.0
2019-05-31,-264.693,0.0,0.0,0.0,-264.693
2019-06-03,838.668687499984,0.0,0.0,0.0,838.668687499984
2019-06-04,-311.226125,0.0,-223.1024613623355,0.0,-534.3285863623355
2019-06-05,32.4895000000091,0.0,0.0,0.0,32.4895000000091
2019-06-06,107.4605000000091,0.0,0.0,0.0,107.4605000000091
2019-06-07,-472.6469999999999,0.0,0.0,0.0,-472.6469999999999
2019-06-10,0.0,0.0,0.0,0.0,0.0
2019-06-11,-67.99949999999319,0.0,0.0,0.0,-67.99949999999319
2019-06-12,0.0,0.0,0.0,0.0,0.0
2019-06-13,-652.2596249999978,0.0,0.0,0.0,-652.2596249999978
2019-06-14,0.0,0.0,0.0,0.0,0.0
2019-06-17,0.0,0.0,0.0,0.0,0.0
2019-06-18,-1560.356312499987,0.0,0.0,0.0,-1560.356312499987
2019-06-19,0.0,0.0,-194.2867236217395,0.0,-194.2867236217395
2019-06-20,831.6434999999931,0.0,158.3491268955248,0.0,989.9926268955179
2019-06-21,0.0,0.0,0.0,0.0,0.0
2019-06-24,0.0,0.0,0.0,0.0,0.0
2019-06-25,0.0,0.0,0.0,0.0,0.0
2019-06-26,0.0,0.0,-95.02516723978273,0.0,-95.02516723978273
2019-06-27,0.0,0.0,0.0,0.0,0.0
2019-06-28,0.0,0.0,0.0,0.0,0.0
2019-07-01,306.1065000000069,0.0,0.0,0.0,306.1065000000069
2019-07-02,0.0,0.0,0.0,0.0,0.0
2019-07-03,0.0,0.0,-251.8955312378941,0.0,-251.8955312378941
2019-07-04,0.0,0.0,0.0,0.0,0.0
2019-07-05,0.0,0.0,0.0,0.0,0.0
2019-07-08,0.0,0.0,0.0,0.0,0.0
2019-07-09,0.0,0.0,0.0,0.0,0.0
2019-07-10,-133.3711249999933,0.0,-175.1988965009808,0.0,-308.5700215009741
2019-07-11,0.0,0.0,0.0,0.0,0.0
2019-07-12,0.0,0.0,0.0,0.0,0.0
2019-07-15,0.0,0.0,0.0,0.0,0.0
2019-07-16,0.0,0.0,0.0,0.0,0.0
2019-07-17,0.0,0.0,0.0,0.0,0.0
2019-07-18,0.0,0.0,0.0,0.0,0.0
2019-07-19,0.0,0.0,0.0,0.0,0.0
2019-07-22,0.0,0.0,0.0,0.0,0.0
2019-07-23,0.0,124.3629033609161,0.0,0.0,124.3629033609161
2019-07-24,0.0,0.0,0.0,0.0,0.0
2019-07-25,177.2867499999864,0.0,0.0,0.0,177.2867499999864
2019-07-26,0.0,0.0,0.0,0.0,0.0
2019-07-29,0.0,0.0,0.0,0.0,0.0
2019-07-30,0.0,0.0,0.0,-83.78557141666666,-83.78557141666666
2019-07-31,479.1422500000104,0.0,286.0221424769825,0.0,765.1643924769928
2019-08-01,-2207.335437500013,0.0,0.0,0.0,-2207.335437500013
2019-08-02,86.97000000001364,0.0,0.0,166.1348777522125,253.10487775222614
2019-08-05,483.6674999999842,0.0,0.0,-368.6353825403913,115.03211745959294
2019-08-06,0.0,0.0,-215.0049845093072,0.0,-215.0049845093072
2019-08-07,-87.43850000000678,0.0,650.2174410502229,0.0,562.7789410502161
2019-08-08,0.0,0.0,0.0,0.0,0.0
2019-08-09,167.4145,0.0,0.0,0.0,167.4145
2019-08-12,0.0,0.0,0.0,0.0,0.0
