date,price,holdings in troy ounce
2010-08-05,1194.96,65835210.7
2010-08-06,1205.4,65866306.26
2010-08-09,1201.23,65858425.03
2010-08-10,1204.3,65858408.53
2010-08-11,1198.15,65965872.1
2010-08-12,1213.95,66061119.59
2010-08-13,1215.43,66077415.42
2010-08-16,1225.35,66086814.15
2010-08-17,1224.83,66340925.68
2010-08-18,1229.3,66546029.25
2010-08-19,1231.96,66660826.62
2010-08-20,1227.89,66724060.46
2010-08-23,1226.15,66768259.16
2010-08-24,1230.5,66719378.55
2010-08-25,1240.15,66761474.12
2010-08-26,1237.6,66851321.83
2010-08-27,1237.83,66867057.36
2010-08-30,1237.0,66973232.14
2010-08-31,1247.4,67124736.78
2010-09-01,1244.3,67185832.51
2010-09-02,1251.06,66924008.03
2010-09-03,1246.55,66958415.69
2010-09-06,1249.95,66958414.41
2010-09-07,1255.7,67083861.91
2010-09-08,1254.95,67091013.49
2010-09-09,1243.6,67013661.08
2010-09-10,1245.98,67013660.54
2010-09-13,1245.55,66952723.31
2010-09-14,1268.33,67155011.72
2010-09-15,1268.15,67082923.59
2010-09-16,1275.25,67097579.18
2010-09-17,1274.18,67168204.97
2010-09-20,1278.25,67206405.91
2010-09-21,1287.38,67270547.0
2010-09-22,1291.41,67277706.53
2010-09-23,1292.4,67196839.91
2010-09-24,1296.63,67185171.65
2010-09-27,1294.5,67169242.16
2010-09-28,1308.95,67436721.53
2010-09-29,1309.8,67463881.24
2010-09-30,1308.54,67841847.07
2010-10-01,1319.03,67776934.47
2010-10-04,1315.35,67753597.15
2010-10-05,1340.54,67772356.68
2010-10-06,1349.01,67795556.49
2010-10-07,1333.55,67412763.99
2010-10-08,1346.85,67447963.18
2010-10-11,1354.15,67377342.27
2010-10-12,1350.55,67496473.38
2010-10-13,1372.28,67453993.04
2010-10-14,1381.25,68089472.71
2010-10-15,1368.4,68025376.28
2010-10-18,1368.6,67974398.52
2010-10-19,1332.0,67963366.25
2010-10-20,1346.04,67938641.69
2010-10-21,1325.72,67909329.22
2010-10-22,1328.55,67882392.51
2010-10-25,1339.91,67829983.25
2010-10-26,1340.54,67822542.65
2010-10-27,1325.3,67796310.37
2010-10-28,1343.91,67646581.67
2010-10-29,1359.4,67628589.26
2010-11-01,1353.83,67625568.11
2010-11-02,1357.5,67597519.53
2010-11-03,1348.54,67536038.65
2010-11-04,1392.53,67575622.59
2010-11-05,1393.63,67576230.61
2010-11-08,1409.43,67722277.29
2010-11-09,1393.14,67674045.07
2010-11-10,1403.98,67658428.59
2010-11-11,1408.8,67662380.36
2010-11-12,1368.75,67662787.68
2010-11-15,1360.58,67647402.03
2010-11-16,1339.63,67665025.47
2010-11-17,1336.05,67637040.8
2010-11-18,1353.43,67490552.51
2010-11-19,1353.63,67669840.16
2010-11-22,1366.8,67571310.79
2010-11-23,1376.45,67559750.65
2010-11-24,1373.31,67623718.09
2010-11-25,1375.35,67623717.67
2010-11-26,1363.8,67588133.29
2010-11-29,1366.31,67751992.51
2010-11-30,1386.23,67780640.68
2010-12-01,1387.9,68026696.38
2010-12-02,1385.15,68272968.02
2010-12-03,1414.08,68211167.29
2010-12-06,1423.75,68237557.85
2010-12-07,1402.08,68314813.33
2010-12-08,1382.03,68209036.73
2010-12-09,1387.11,68137524.06
2010-12-10,1386.13,68062083.53
2010-12-13,1394.13,68157921.97
2010-12-14,1396.2,68011857.93
2010-12-15,1380.84,68258553.08
2010-12-16,1370.18,68198368.48
2010-12-17,1375.38,68692471.64
2010-12-20,1385.3,68737573.89
2010-12-21,1385.6,68708293.16
2010-12-22,1385.3,68409492.61
2010-12-23,1380.0,68262087.29
2010-12-24,1384.65,68409490.97
2010-12-27,1383.78,68297784.94
2010-12-28,1405.95,68294303.47
2010-12-29,1411.78,68294151.0
2010-12-30,1404.65,68196534.11
2010-12-31,1421.4,68156632.68
2011-01-03,1414.8,68204328.68
2011-01-04,1380.5,68133764.13
2011-01-05,1378.25,68037426.75
2011-01-06,1371.56,68033378.08
2011-01-07,1369.54,68024049.27
2011-01-10,1375.71,67998120.68
2011-01-11,1381.58,68012526.42
2011-01-12,1387.9,68017543.22
2011-01-13,1373.6,67804958.4
2011-01-14,1361.85,67594757.13
2011-01-17,1361.61,67594754.42
2011-01-18,1368.34,67582001.6
2011-01-19,1369.86,67240432.96
2011-01-20,1346.25,67170887.92
2011-01-21,1342.68,67808198.76
2011-01-24,1334.4,67450612.5
2011-01-25,1332.43,66453394.69
2011-01-26,1346.0,66394049.79
2011-01-27,1313.53,66273001.32
2011-01-28,1336.78,66155175.69
2011-01-31,1332.68,66056186.75
2011-02-01,1341.4,65976737.44
2011-02-02,1335.25,65955104.59
2011-02-03,1354.35,65983087.61
2011-02-04,1348.93,65936463.19
2011-02-07,1351.28,65868324.74
2011-02-08,1363.98,65817693.01
2011-02-09,1363.73,65820468.45
2011-02-10,1363.8,65684012.3
2011-02-11,1356.95,65614133.8
2011-02-14,1361.78,65709001.04
2011-02-15,1373.85,65605824.48
2011-02-16,1374.39,65587583.87
2011-02-17,1384.08,65700399.0
2011-02-18,1389.99,65691671.85
2011-02-21,1406.45,65691669.46
2011-02-22,1399.14,65535508.87
2011-02-23,1411.64,65554675.63
2011-02-24,1402.66,65384658.75
2011-02-25,1410.65,65423721.62
2011-02-28,1411.33,65531802.34
2011-03-01,1433.38,65590790.32
2011-03-02,1434.4,65575957.59
2011-03-03,1415.88,65597324.51
2011-03-04,1430.95,65657795.54
2011-03-07,1432.05,65881321.3
2011-03-08,1428.88,65935496.08
2011-03-09,1430.75,65978487.4
2011-03-10,1411.85,66057318.67
2011-03-11,1417.65,66011609.64
2011-03-14,1426.43,65980886.59
2011-03-15,1395.7,66023709.35
2011-03-16,1399.03,66010627.23
2011-03-17,1403.81,66156145.16
2011-03-18,1418.56,66193250.26
2011-03-21,1427.79,66069185.01
2011-03-22,1427.85,66244399.42
2011-03-23,1437.43,66215070.04
2011-03-24,1430.43,66238877.05
2011-03-25,1429.88,66182707.51
2011-03-28,1420.3,66134143.41
2011-03-29,1418.45,66134085.69
2011-03-30,1422.98,66136885.47
2011-03-31,1432.2,66221210.13
2011-04-01,1428.73,66245257.46
2011-04-04,1434.03,66268197.45
2011-04-05,1455.85,66197021.27
2011-04-06,1459.75,65962074.87
2011-04-07,1458.2,65907063.27
2011-04-08,1474.91,66549294.15
2011-04-11,1463.15,66589727.92
2011-04-12,1452.98,66580485.56
2011-04-13,1457.36,66636364.22
2011-04-14,1474.15,66590978.5
2011-04-15,1486.88,67211289.55
2011-04-18,1495.3,67227719.71
2011-04-19,1496.4,67226349.99
2011-04-20,1502.4,67232829.31
2011-04-21,1504.88,67440755.34
2011-04-22,1507.04,67431717.38
2011-04-25,1507.23,67431713.47
2011-04-26,1506.25,67436375.19
2011-04-27,1527.05,67427997.9
2011-04-28,1536.2,67438445.38
2011-04-29,1563.7,67332012.03
2011-05-02,1545.45,67469031.35
2011-05-03,1535.9,67307313.03
2011-05-04,1516.22,67393393.03
2011-05-05,1474.3,66910937.03
2011-05-06,1495.58,67062351.34
2011-05-09,1513.73,66961954.87
2011-05-10,1516.26,66817505.57
2011-05-11,1501.41,66784815.09
2011-05-12,1505.88,66808236.86
2011-05-13,1495.15,66512859.53
2011-05-16,1489.33,66464806.24
2011-05-17,1486.7,66432420.92
2011-05-18,1496.98,66395595.11
2011-05-19,1493.28,66375065.81
2011-05-20,1512.23,66681952.37
2011-05-23,1517.1,66900476.46
2011-05-24,1526.64,66920747.02
2011-05-25,1525.35,67088097.72
2011-05-26,1519.2,67083464.15
2011-05-27,1536.4,67098773.91
2011-05-30,1538.46,67098769.45
2011-05-31,1535.73,67470351.6
2011-06-01,1539.83,67501565.07
2011-06-02,1533.65,67501547.46
2011-06-03,1542.28,67537017.71
2011-06-06,1544.58,67536965.07
2011-06-07,1544.13,67563643.44
2011-06-08,1537.6,67525753.89
2011-06-09,1543.98,67687632.14
2011-06-10,1531.27,67364190.61
2011-06-13,1515.65,67339393.85
2011-06-14,1523.98,67358511.85
2011-06-15,1530.98,67358446.44
2011-06-16,1529.58,67377157.02
2011-06-17,1539.4,67656355.41
2011-06-20,1540.6,67675814.8
2011-06-21,1546.28,67638925.19
2011-06-22,1548.95,67638923.81
2011-06-23,1521.4,67680266.26
2011-06-24,1502.55,67692536.0
2011-06-27,1497.93,67801378.19
2011-06-28,1501.25,67808160.82
2011-06-29,1512.33,67806015.54
2011-06-30,1500.18,67855193.6
2011-07-01,1487.43,67754254.88
2011-07-04,1496.2,67754250.22
2011-07-05,1515.7,67769128.85
2011-07-06,1528.98,67770103.68
2011-07-07,1532.36,67780238.37
2011-07-08,1544.15,67867860.87
2011-07-11,1553.48,67889016.05
2011-07-12,1567.76,68552934.46
2011-07-13,1582.38,68640573.02
2011-07-14,1587.23,68654683.6
2011-07-15,1593.6,69062865.93
2011-07-18,1604.79,69552707.98
2011-07-19,1588.5,69677476.22
2011-07-20,1600.4,69755250.02
2011-07-21,1590.55,69743369.02
2011-07-22,1601.33,69719110.54
2011-07-25,1614.02,69779379.0
2011-07-26,1619.32,69977168.86
2011-07-27,1613.47,70078415.39
2011-07-28,1615.95,70692021.55
2011-07-29,1627.05,70831979.7
2011-08-01,1619.38,70875422.64
2011-08-02,1659.4,71528877.09
2011-08-03,1661.72,71674740.06
2011-08-04,1646.52,71806723.09
2011-08-05,1663.95,71901385.39
2011-08-08,1719.45,72910992.65
2011-08-09,1740.95,72630199.35
2011-08-10,1793.27,72804413.82
2011-08-11,1763.92,72051076.8
2011-08-12,1746.68,71997802.6
2011-08-15,1766.02,72105301.25
2011-08-16,1785.55,72165172.22
2011-08-17,1791.25,72484282.87
2011-08-18,1823.9,72975401.46
2011-08-19,1852.07,72904337.19
2011-08-22,1897.46,72754909.51
2011-08-23,1828.63,71960392.25
