,usd_exposure,eur_exposure,gbp_exposure,jpy_exposure,emfx_exposure,fi_exposure,dmequity_exposure,emequity_exposure,com_exposure,ags_exposure
2015-02-09,70.72283634873233,-13.628809682754566,14.09264507840445,-4.855110654462748,-93.54668175959726,258.97399373780456,53.07542384820531,-2.9393457194896837,-53.226114114832185,-42.8928907351989
2015-02-10,70.72283634873233,-13.628809682754566,14.09264507840445,-4.855110654462748,-96.75614351237813,288.525818370037,53.07542384820531,-0.9535584208463742,-50.01723274298877,-42.8928907351989
2015-02-11,70.72283634873233,-13.628809682754566,14.09264507840445,-4.855110654462748,-98.178951253998,269.600631272656,53.07542384820531,-0.9535584208463742,-50.01723274298877,-42.8928907351989
2015-02-12,70.72283634873233,-13.628809682754566,14.09264507840445,-4.855110654462748,-104.30479524732138,269.600631272656,53.07542384820531,-0.9535584208463742,-50.01723274298877,-45.67722670811069
2015-02-13,70.72283634873233,-13.628809682754566,14.09264507840445,-4.855110654462748,-104.30479524732138,269.600631272656,53.07542384820531,0.834180294454128,-53.405364453602736,-45.67722670811069
2015-02-16,70.72283634873233,-13.628809682754566,14.09264507840445,-4.855110654462748,-104.30479524732138,263.3420664503133,54.836585323167625,6.3402669260049045,-50.88188284857363,-43.77864529775891
2015-02-17,70.72283634873233,-13.628809682754566,14.09264507840445,-4.855110654462748,-99.64632440236323,263.3420664503133,56.446658412309986,9.343027110511409,-54.026877307582446,-43.77864529775891
2015-02-18,64.76945428596994,-13.628809682754566,14.09264507840445,-4.855110654462748,-96.26434975605684,219.94990243725158,58.09332958947906,9.343027110511409,-51.89328478412147,-42.630706069709134
2015-02-19,64.76945428596994,-13.628809682754566,14.09264507840445,-4.855110654462748,-96.26434975605684,190.73460440321526,63.85094544876228,11.931708007666458,-53.669487783679855,-42.630706069709134
2015-02-20,64.76945428596994,-13.628809682754566,14.09264507840445,-4.855110654462748,-93.89437911021115,190.73460440321526,63.85094544876228,11.931708007666458,-55.29672449622683,-44.00528568465173
2015-02-23,64.76945428596994,-13.628809682754566,14.09264507840445,-4.855110654462748,-95.39283153830381,190.73460440321526,63.85094544876228,12.234405936462577,-55.29672449622683,-44.00528568465173
